newMDP00,76,43,32,24,20,17,15,13,12,10,10,9,8,8,8,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2
newMDP01,76,42,31,25,20,17,15,13,12,10,10,9,8,8,8,7,6,6,6,6,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3
newMDP02,78,44,31,25,20,17,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
newMDP03,78,44,33,26,20,18,16,14,12,10,10,10,8,8,8,9,6,6,6,6,6,6,6,7,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3
newMDP04,83,47,34,26,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3
newMDP05,71,39,30,24,19,18,15,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2
newMDP06,73,43,30,25,19,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP07,78,47,33,26,20,18,15,14,12,10,10,10,8,8,8,8,6,6,6,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,3
newMDP08,81,48,34,27,21,18,15,15,12,11,10,10,9,8,8,8,6,6,7,7,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,3,2
newMDP09,75,46,33,26,20,18,15,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2
newMDP10,78,46,33,26,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP11,75,45,33,25,21,19,17,15,14,11,11,10,8,8,9,9,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3
newMDP12,78,44,32,25,19,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP13,76,43,30,25,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP14,71,41,30,25,19,17,14,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2
newMDP15,75,45,31,25,19,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP16,81,46,34,26,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP17,78,44,32,24,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP18,77,44,33,26,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP19,71,42,31,25,20,17,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP20,72,43,32,25,20,17,15,13,12,10,10,9,8,8,8,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2
newMDP21,77,47,33,26,20,18,15,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2
newMDP22,76,45,32,26,20,18,16,14,12,10,10,10,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
newMDP23,70,41,30,24,19,17,15,13,12,10,10,9,8,8,8,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
newMDP24,68,40,30,23,20,17,15,13,12,10,10,9,8,8,8,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2
newMDP25,77,44,30,25,19,17,15,13,11,10,10,9,8,8,7,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2
